RA,DEC,REDSHIFT,survey,RA_BIN,DEC_BIN,LOCAL_DENSITY
121.819213482933,0.58647754998384,0.6240997,SDSS,121,0,105
121.696716578768,0.471466288126116,0.3672785,SDSS,121,0,105
121.7720451634,0.425240782508443,0.1943646,SDSS,121,0,105
121.626836520658,0.587778152448051,0.2490156,SDSS,121,0,105
121.615664877854,0.441343465595426,0.4888645,SDSS,121,0,105
121.573051248601,0.477688386993744,0.6420072,SDSS,121,0,105
121.553168436907,0.473242222225189,0.5526523,SDSS,121,0,105
121.511422166151,0.561635843091265,0.4853866,SDSS,121,0,105
121.477912499482,0.470557490002134,0.5618874,SDSS,121,0,105
119.853924293869,1.2641644296541,0.5942419,SDSS,119,1,21
119.869125391855,1.34467453701496,0.4151396,SDSS,119,1,21
119.950775584727,1.26995869230634,0.5862052,SDSS,119,1,21
119.930871228465,1.27097003156992,0.4167112,SDSS,119,1,21
119.96623997547,1.2974038360189,0.670712,SDSS,119,1,21
120.15712175179,1.3379878090515,0.3758774,SDSS,120,1,24
120.150501034397,1.35494670910294,0.6831561,SDSS,120,1,24
120.221543226579,1.29511284219459,0.4056899,SDSS,120,1,24
120.299611820476,1.38861523369284,0.5888533,SDSS,120,1,24
120.337251867574,1.26703869190657,0.5884404,SDSS,120,1,24
120.548637540439,1.29614901513887,0.5539511,SDSS,120,1,24
120.713939527041,1.28222493835209,0.5143772,SDSS,120,1,24
243.929286993462,-0.919464580301057,0.1145961,SDSS,243,-1,26
